timestamp_utc,as_of,n_new_trades,closed_trades,wins,losses,win_rate_pct,avg_pnl,total_pnl,trades_bytes,trades_sha12,feed_bytes,feed_sha12,missing_trades
2025-11-09T03:47:35.974917+00:00,2025-11-09T03:46:55Z,10,0,0,0,0.0,0.0,0,3150,940d82110cb3,388057,9ba9f7192e38,0
2025-11-09T05:28:00.762570+00:00,2025-11-09T05:27:29Z,10,0,0,0,0.0,0.0,0,3153,47460ba13bc8,388060,b814ef7db5fc,0
2025-11-09T23:40:21.231658+00:00,2025-11-09T23:39:36Z,10,0,0,0,0.0,0.0,0,3151,fe5799bcab4c,387963,c8cd24456f4c,0
2025-11-10T03:15:22.137124+00:00,2025-11-10T03:14:59Z,10,0,0,0,0.0,0.0,0,3152,4aaf6a70ffd3,388027,bc8ee2fa14bb,0
2025-11-10T14:52:31.984473+00:00,2025-11-10T14:51:24Z,10,0,0,0,0.0,0.0,0,3162,9bf9e22dd55f,400017,8a83d9d5651d,0
2025-11-10T15:49:24.172498+00:00,2025-11-10T15:48:57Z,10,0,0,0,0.0,0.0,0,3156,f04b78b627c6,401223,acd2035ff1c3,0
2025-11-11T14:52:33.452107+00:00,2025-11-11T14:51:48Z,10,0,0,0,0.0,0.0,0,3152,0fe17350c28c,460258,f4999c040367,0
2025-11-11T15:49:02.613450+00:00,2025-11-11T15:48:22Z,10,0,0,0,0.0,0.0,0,3153,274085187f23,460616,b3d5069503b7,0
2025-11-12T14:54:20.245637+00:00,2025-11-12T14:53:35Z,10,0,0,0,0.0,0.0,0,3152,fd5128f90f22,448921,dd46f79ea38c,0
2025-11-12T15:53:39.241763+00:00,2025-11-12T15:53:06Z,10,0,0,0,0.0,0.0,0,3156,43919a17faef,450121,bdc66bd37865,0
2025-11-13T14:47:02.786627+00:00,2025-11-13T14:46:04Z,10,0,0,0,0.0,0.0,0,3154,510379cb1dad,460339,07017f420134,0
2025-11-13T15:49:42.697141+00:00,2025-11-13T15:48:40Z,10,0,0,0,0.0,0.0,0,3155,075fd0b79469,460999,fad62d180059,0
2025-11-14T14:47:01.234044+00:00,2025-11-14T14:45:31Z,10,0,0,0,0.0,0.0,0,3145,edd2e7aa63bb,448847,22094e898e2c,0
2025-11-14T15:46:52.613111+00:00,2025-11-14T15:45:53Z,10,0,0,0,0.0,0.0,0,3168,8d0def6b216e,450185,e5e483b3a8e9,0
2025-11-17T14:54:01.208548+00:00,2025-11-17T14:53:19Z,10,0,0,0,0.0,0.0,0,3152,911d4547511c,410594,afcb64419877,0
2025-11-17T15:52:49.468496+00:00,2025-11-17T15:51:46Z,10,0,0,0,0.0,0.0,0,3157,46a272e1715b,411631,6ba4869a6460,0
2025-11-17T17:06:50.802099+00:00,2025-11-17T17:05:43Z,10,0,0,0,0.0,0.0,0,3158,386b15e80f69,411881,67d0c9d35782,0
2025-11-18T14:54:14.892430+00:00,2025-11-18T14:52:49Z,10,0,0,0,0.0,0.0,0,3170,94d07ef48799,469691,dd8bc96bbcb8,0
2025-11-18T15:54:02.057587+00:00,2025-11-18T15:52:54Z,10,0,0,0,0.0,0.0,0,3173,3b7b1b832da2,470110,b4ed73f15cb5,0
2025-11-19T14:55:36.084699+00:00,2025-11-19T14:54:09Z,10,0,0,0,0.0,0.0,0,3154,80b43286722e,469433,908bc69395c7,0
2025-11-19T15:46:57.995611+00:00,2025-11-19T15:45:36Z,10,0,0,0,0.0,0.0,0,3171,f0ec27bdca3a,470715,3ea4559f783f,0
2025-11-20T14:47:23.407251+00:00,2025-11-20T14:46:14Z,10,0,0,0,0.0,0.0,0,3151,1a0937f14019,453232,c82feb332f4d,0
2025-11-20T15:51:34.661993+00:00,2025-11-20T15:50:12Z,10,0,0,0,0.0,0.0,0,3162,d0f6c7239a55,470657,ff4fbfb30261,0
2025-11-21T14:49:33.078231+00:00,2025-11-21T14:48:13Z,10,0,0,0,0.0,0.0,0,3141,9fd5c5406dcb,478523,1ad1633e2c01,0
2025-11-21T15:43:27.134558+00:00,2025-11-21T15:40:34Z,10,0,0,0,0.0,0.0,0,3175,83b742ecfdd8,479487,30fd0234c3f8,0
2025-11-24T14:54:33.477223+00:00,2025-11-24T14:53:50Z,10,0,0,0,0.0,0.0,0,3166,9f40bdb79ef6,420308,ea667bb7e2fa,0
2025-11-24T15:53:08.874096+00:00,2025-11-24T15:52:39Z,10,0,0,0,0.0,0.0,0,3150,edc7bb547372,421372,01f9d4c9cabc,0
2025-11-25T14:53:01.552111+00:00,2025-11-25T14:51:47Z,10,0,0,0,0.0,0.0,0,3129,461eb7af3141,408419,3a0cc1ea29ab,0
2025-11-25T15:53:26.252197+00:00,2025-11-25T15:52:48Z,10,0,0,0,0.0,0.0,0,3137,9d0f2f3d008d,410373,0e8b5b7e8ab6,0
